

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
072.861  000.019  000.019: sourcing /nix/store/qx1ilrcafpl5nigxhqfngpsprza9s6d3-neovim-unwrapped-master/share/nvim/runtime/filetype.vim
073.320  000.083  000.083: sourcing /nix/store/qx1ilrcafpl5nigxhqfngpsprza9s6d3-neovim-unwrapped-master/share/nvim/runtime/syntax/synload.vim
073.447  000.501  000.418: sourcing /nix/store/qx1ilrcafpl5nigxhqfngpsprza9s6d3-neovim-unwrapped-master/share/nvim/runtime/syntax/syntax.vim
075.886  000.150  000.150: sourcing /nix/store/qx1ilrcafpl5nigxhqfngpsprza9s6d3-neovim-unwrapped-master/share/nvim/runtime/plugin/gzip.vim
075.933  000.013  000.013: sourcing /nix/store/qx1ilrcafpl5nigxhqfngpsprza9s6d3-neovim-unwrapped-master/share/nvim/runtime/plugin/health.vim
076.868  000.163  000.163: sourcing /nix/store/qx1ilrcafpl5nigxhqfngpsprza9s6d3-neovim-unwrapped-master/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
077.091  001.131  000.968: sourcing /nix/store/qx1ilrcafpl5nigxhqfngpsprza9s6d3-neovim-unwrapped-master/share/nvim/runtime/plugin/matchit.vim
077.253  000.133  000.133: sourcing /nix/store/qx1ilrcafpl5nigxhqfngpsprza9s6d3-neovim-unwrapped-master/share/nvim/runtime/plugin/matchparen.vim
077.579  000.295  000.295: sourcing /nix/store/qx1ilrcafpl5nigxhqfngpsprza9s6d3-neovim-unwrapped-master/share/nvim/runtime/plugin/netrwPlugin.vim
077.736  000.011  000.011: sourcing /nix/store/skg6yprw9sys4d16zj027b8906ibgbqi-neovim-master/rplugin.vim
077.861  000.239  000.228: sourcing /nix/store/qx1ilrcafpl5nigxhqfngpsprza9s6d3-neovim-unwrapped-master/share/nvim/runtime/plugin/rplugin.vim
077.978  000.074  000.074: sourcing /nix/store/qx1ilrcafpl5nigxhqfngpsprza9s6d3-neovim-unwrapped-master/share/nvim/runtime/plugin/shada.vim
078.052  000.025  000.025: sourcing /nix/store/qx1ilrcafpl5nigxhqfngpsprza9s6d3-neovim-unwrapped-master/share/nvim/runtime/plugin/spellfile.vim
078.186  000.096  000.096: sourcing /nix/store/qx1ilrcafpl5nigxhqfngpsprza9s6d3-neovim-unwrapped-master/share/nvim/runtime/plugin/tarPlugin.vim
078.310  000.078  000.078: sourcing /nix/store/qx1ilrcafpl5nigxhqfngpsprza9s6d3-neovim-unwrapped-master/share/nvim/runtime/plugin/tohtml.vim
078.368  000.020  000.020: sourcing /nix/store/qx1ilrcafpl5nigxhqfngpsprza9s6d3-neovim-unwrapped-master/share/nvim/runtime/plugin/tutor.vim
078.543  000.140  000.140: sourcing /nix/store/qx1ilrcafpl5nigxhqfngpsprza9s6d3-neovim-unwrapped-master/share/nvim/runtime/plugin/zipPlugin.vim
079.173  000.049  000.049: sourcing /nix/store/qx1ilrcafpl5nigxhqfngpsprza9s6d3-neovim-unwrapped-master/share/nvim/runtime/plugin/man.lua
079.200  003.885: loading rtp plugins
080.121  000.014  000.014: sourcing /nix/store/asmdpsgqdgy77sdb61nm4522rka6gsl5-vim-pack-dir/pack/myNeovimPackages/start/catppuccin-nvim/plugin/catppuccin.vim
080.712  000.175  000.175: sourcing /nix/store/asmdpsgqdgy77sdb61nm4522rka6gsl5-vim-pack-dir/pack/myNeovimPackages/start/hop.nvim/plugin/hop.vim
081.159  000.057  000.057: require('indent_blankline.commands')
081.222  000.232  000.175: sourcing /nix/store/asmdpsgqdgy77sdb61nm4522rka6gsl5-vim-pack-dir/pack/myNeovimPackages/start/indent-blankline.nvim/plugin/indent_blankline.vim
082.074  000.051  000.051: require('cmp.utils.highlight')
082.471  000.503  000.452: sourcing /nix/store/asmdpsgqdgy77sdb61nm4522rka6gsl5-vim-pack-dir/pack/myNeovimPackages/start/nvim-cmp/plugin/cmp.lua
082.712  000.035  000.035: sourcing /nix/store/asmdpsgqdgy77sdb61nm4522rka6gsl5-vim-pack-dir/pack/myNeovimPackages/start/nvim-colorizer.lua/plugin/colorizer.lua
082.996  000.072  000.072: sourcing /nix/store/asmdpsgqdgy77sdb61nm4522rka6gsl5-vim-pack-dir/pack/myNeovimPackages/start/nvim-lspconfig/plugin/lspconfig.lua
083.456  000.049  000.049: require('nvim-treesitter.info')
083.544  000.084  000.084: require('nvim-treesitter.shell_command_selectors')
083.574  000.258  000.125: require('nvim-treesitter.install')
083.651  000.074  000.074: require('nvim-treesitter.statusline')
083.700  000.047  000.047: require('nvim-treesitter.query_predicates')
083.703  000.426  000.047: require('nvim-treesitter')
084.141  000.094  000.094: require('nvim-treesitter.highlight')
084.282  001.036  000.515: sourcing /nix/store/asmdpsgqdgy77sdb61nm4522rka6gsl5-vim-pack-dir/pack/myNeovimPackages/start/nvim-treesitter/plugin/nvim-treesitter.lua
084.477  000.040  000.040: sourcing /nix/store/asmdpsgqdgy77sdb61nm4522rka6gsl5-vim-pack-dir/pack/myNeovimPackages/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
084.708  000.029  000.029: sourcing /nix/store/asmdpsgqdgy77sdb61nm4522rka6gsl5-vim-pack-dir/pack/myNeovimPackages/start/plenary.nvim/plugin/plenary.vim
085.157  000.144  000.144: sourcing /nix/store/asmdpsgqdgy77sdb61nm4522rka6gsl5-vim-pack-dir/pack/myNeovimPackages/start/telescope.nvim/plugin/telescope.lua
085.459  000.111  000.111: sourcing /nix/store/asmdpsgqdgy77sdb61nm4522rka6gsl5-vim-pack-dir/pack/myNeovimPackages/start/vim-commentary/plugin/commentary.vim
085.694  000.025  000.025: sourcing /nix/store/asmdpsgqdgy77sdb61nm4522rka6gsl5-vim-pack-dir/pack/myNeovimPackages/start/vim-nix/plugin/nix.vim
086.231  000.283  000.283: sourcing /nix/store/asmdpsgqdgy77sdb61nm4522rka6gsl5-vim-pack-dir/pack/myNeovimPackages/start/vim-surround/plugin/surround.vim
086.477  000.022  000.022: sourcing /nix/store/asmdpsgqdgy77sdb61nm4522rka6gsl5-vim-pack-dir/pack/myNeovimPackages/start/zen-mode.nvim/plugin/zen-mode.vim
087.039  005.120: loading packages
090.654  000.043  000.043: require('cmp_buffer.timer')
090.661  000.094  000.051: require('cmp_buffer.buffer')
090.664  000.142  000.048: require('cmp_buffer.source')
090.666  000.187  000.045: require('cmp_buffer')
090.690  000.234  000.047: sourcing /nix/store/asmdpsgqdgy77sdb61nm4522rka6gsl5-vim-pack-dir/pack/myNeovimPackages/start/cmp-buffer/after/plugin/cmp_buffer.lua
090.894  000.073  000.073: sourcing /nix/store/asmdpsgqdgy77sdb61nm4522rka6gsl5-vim-pack-dir/pack/myNeovimPackages/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
091.131  000.087  000.087: require('cmp_path')
091.165  000.140  000.052: sourcing /nix/store/asmdpsgqdgy77sdb61nm4522rka6gsl5-vim-pack-dir/pack/myNeovimPackages/start/cmp-path/after/plugin/cmp_path.lua
091.170  003.684: loading after plugins
091.181  000.011: inits 3
091.182  000.001: reading ShaDa
091.686  000.504: opening buffers
091.750  000.047  000.047: require('bufferline.state')
091.949  000.215: BufEnter autocommands
091.952  000.003: editing files in windows
